id,reference
0,31.1794
1,63.7527
2,22.1513
3,37.7996
4,54.233
5,48.1859
6,46.5168
7,71.062
8,60.4195
9,57.0764
10,37.9155
11,70.4777
12,80.3593
13,18.8832
14,69.5734
15,69.7771
16,46.3714
17,81.5438
18,54.992
19,79.2995
20,48.1281
21,38.0334
22,23.7666
23,51.0709
24,15.7567
25,69.3776
26,51.5489
27,35.224
28,16.9554
29,87.0178
30,60.1122
31,35.7431
32,74.3459
33,85.7165
34,55.0282
35,80.0319
36,35.7714
37,71.2254
38,9.38908
39,51.123
40,38.607
41,43.1545
42,43.2426
43,30.2551
44,32.6107
45,43.8499
46,28.6769
47,53.82
48,40.9523
49,37.2227
50,51.1932
51,15.0796
52,52.7609
53,46.753
54,72.2382
55,59.8129
56,46.6677
57,26.7802
58,71.7486
59,79.8222
60,43.6909
61,42.4155
62,40.5443
63,36.384
64,38.9089
65,66.2109
66,22.728
67,56.1987
68,37.2235
69,49.1521
70,57.9396
71,44.791
72,57.9288
73,9.69758
74,35.3774
75,46.2167
76,49.0412
77,32.2191
78,42.219
79,84.5016
80,63.5607
81,20.9392
82,47.7122
83,66.0095
84,77.4306
85,16.027
86,35.9525
87,6.6979
88,36.9247
89,49.5602
90,55.3547
91,37.59
92,29.9941
93,36.2308
94,62.4881
95,45.8486
96,22.273
97,51.7304
98,40.803
99,58.8497
100,40.6688
101,85.015
102,21.9409
103,29.2151
104,21.525
105,42.6814
106,79.2104
107,56.6148
108,83.9528
109,53.9702
110,29.9941
111,20.8684
112,55.5818
113,14.7581
114,39.7036
115,50.6257
116,51.341
117,43.2864
118,74.7878
119,91.2236
120,40.0655
121,15.9078
122,44.1493
123,31.1634
124,24.6173
125,6.73444
126,56.9327
127,43.0731
128,24.0661
129,80.929
130,-7.52746
131,36.0906
132,25.627
133,55.2008
134,86.3249
135,36.3169
136,44.1559
137,21.3645
138,70.1475
139,46.0319
140,80.6001
141,6.39104
142,89.448
143,57.5886
144,23.5981
145,37.314
146,56.6278
147,83.5257
148,35.9245
149,34.1798
150,8.44552
151,68.059
152,45.7221
153,37.878
154,40.4393
155,34.8943
156,80.9999
157,27.7044
158,43.8569
159,82.6623
160,78.0144
161,83.5755
162,38.0558
163,24.3471
164,82.1952
165,44.5773
166,87.1066
167,52.2261
168,39.6726
169,44.5553
170,27.33
171,11.4759
172,24.6185
173,20.8042
174,70.148
175,37.845
176,28.8052
177,41.003
178,37.3303
179,78.2313
180,43.9114
181,48.4847
182,73.5479
183,74.9949
184,32.8692
185,28.6116
186,10.7354
187,17.0452
188,84.0553
189,49.1611
190,90.8234
191,82.4302
192,10.1983
193,31.9363
194,46.2551
195,46.3933
196,19.3166
197,72.0024
198,37.1996
199,15.7294
200,73.2815
201,92.7821
202,72.0331
203,66.3503
204,80.7505
205,58.6108
206,72.3964
207,61.8512
208,33.2627
209,44.0835
210,17.9703
211,14.844
212,18.3199
213,73.1939
214,16.9429
215,41.6859
216,40.1542
217,83.0111
218,21.2998
219,35.5412
220,33.9585
221,68.1134
222,42.5521
223,49.7396
224,50.1391
225,67.3318
226,5.01501
227,52.2953
228,30.2567
229,49.9879
230,47.6504
231,41.6878
232,63.7923
233,74.281
234,41.3023
235,55.4724
236,46.802
237,53.6983
238,56.1104
239,44.4774
240,80.0231
241,3.95986
242,41.2102
243,37.6308
244,63.1869
245,42.0518
246,35.7022
247,36.7325
248,21.7826
249,90.2688
250,34.9095
251,60.395
252,55.8171
253,38.1877
254,8.73317
255,22.1769
256,49.7032
257,38.7318
258,44.1508
259,8.69489
260,60.2995
261,33.384
262,48.3932
263,41.2548
264,85.985
265,75.3261
266,67.5886
267,41.0078
268,55.6894
269,83.8252
270,66.8014
271,54.049
272,32.9978
273,37.1008
274,20.3599
275,36.2927
276,57.9491
277,67.801
278,47.2796
279,40.4252
280,67.5113
281,27.0539
282,59.4279
283,16.5534
284,58.1689
285,31.7556
286,13.0423
287,54.3317
288,51.052
289,66.0917
290,78.2361
291,26.8766
292,65.1637
293,39.723
294,38.0625
295,72.6379
296,40.4317
297,23.9109
298,16.0521
299,50.7434
300,90.8052
301,91.5395
302,45.4887
303,10.8386
304,48.9947
305,50.5402
306,32.9216
307,41.9209
308,30.4584
309,70.9691
310,34.3454
311,38.8074
312,20.123
313,77.4992
314,79.3431
315,45.9409
316,37.8037
317,36.5024
318,75.3965
319,6.21808
320,44.7143
321,41.3506
322,14.0361
323,39.539
324,60.1363
325,52.595
326,40.5351
327,54.3803
328,47.7578
329,45.8319
330,42.7268
331,69.9737
332,52.3286
333,41.8561
334,59.4934
335,55.65
336,13.2297
337,74.2644
338,37.4832
339,28.1355
340,53.0186
341,39.5601
342,34.9686
343,50.824
344,53.2658
345,8.98957
346,15.8451
347,9.69112
348,24.2298
349,36.9266
350,51.4217
351,26.8553
352,47.0775
353,62.5053
354,15.7869
355,55.3483
356,75.0123
357,36.4099
358,81.2895
359,27.9845
360,49.2037
361,3.14822
362,42.3427
363,77.5939
364,28.0335
365,49.4351
366,41.0085
367,56.0173
368,35.2679
369,75.4579
370,62.7403
371,37.6879
372,7.56104
373,23.8643
374,35.8127
375,7.03427
376,41.19
377,37.5634
378,82.6269
379,41.6942
380,11.2912
381,9.58175
382,74.9608
383,53.5497
384,70.7635
385,50.9413
386,70.7276
387,30.5298
388,22.1629
389,24.8995
390,30.7487
391,53.178
392,50.2102
393,72.6564
394,25.6828
395,33.5386
396,55.0646
397,20.7363
398,50.2156
399,37.1418
400,40.5145
401,85.0875
402,30.7809
403,10.4184
404,48.562
405,32.4997
406,46.2987
407,51.1662
408,42.1751
409,42.7583
410,43.4021
411,33.7136
412,31.1017
413,47.5706
414,76.391
415,67.7477
416,8.28344
417,53.9192
418,71.218
419,48.7593
420,80.994
421,76.2381
422,40.6652
423,84.3158
424,74.9726
425,24.779
426,12.1187
427,48.2
428,49.3328
429,58.61
430,16.7774
431,21.6521
432,60.1401
433,40.0626
434,54.8718
435,80.5815
436,24.7949
437,71.9558
438,52.4726
439,38.7309
440,59.8702
441,38.0474
442,15.9995
443,48.3579
444,20.7201
445,40.2305
446,37.0799
447,56.0976
448,48.5735
449,61.0061
450,72.3594
451,7.2745
452,50.9615
453,48.8675
454,34.0902
455,33.4361
456,26.5372
457,9.3604
458,42.0964
459,88.4176
460,73.6359
461,1.80035
462,38.7607
463,31.9723
464,84.314
465,49.8327
466,40.4649
467,42.6471
468,54.27
469,58.4657
470,31.7704
471,78.8716
472,10.3833
473,37.4358
474,26.6594
475,19.6012
476,43.6664
477,51.8732
478,38.73
479,66.2342
480,40.1554
481,52.528
482,48.4057
483,57.6587
484,29.3693
485,65.1471
486,14.7984
487,61.0577
488,43.3337
489,39.9808
490,55.5219
491,55.9229
492,82.3514
493,88.1483
494,64.6128
495,56.0599
496,47.2011
497,41.8181
498,19.4199
499,78.6267
500,64.2173
501,31.5047
502,80.523
503,79.5561
504,70.2533
505,90.1091
506,70.0218
507,32.037
508,36.8087
509,22.234
510,53.4669
511,17.9516
512,44.5791
513,29.7038
514,26.3593
515,41.7057
516,31.7722
517,77.948
518,43.6552
519,27.0134
520,90.3403
521,47.3526
522,69.5791
523,79.6023
524,17.2121
525,66.468
526,41.762
527,47.7025
528,74.7978
529,47.1726
530,32.381
531,76.2191
532,40.4857
533,53.6139
534,26.5006
535,67.5314
536,52.6156
537,43.2214
538,48.2233
539,71.3392
540,45.5989
541,62.9442
542,75.7026
543,44.7448
544,69.8255
545,50.5226
546,47.3165
547,51.835
548,60.0656
549,31.9255
550,25.3997
551,77.9001
552,27.5511
553,35.2418
554,41.7654
555,10.591
556,83.0421
557,85.0521
558,71.0877
559,56.7243
560,44.3172
561,34.279
562,61.3737
563,56.1089
564,54.2514
565,45.525
566,56.4623
567,31.8701
568,74.4943
569,13.8855
570,29.7824
571,82.6936
572,41.8146
573,66.9648
574,14.3727
575,78.8331
576,5.47177
577,57.4541
578,64.2779
579,43.9236
580,44.5354
581,49.1817
582,46.2541
583,48.2298
584,36.925
585,66.4631
586,47.491
587,40.6037
588,80.9213
589,62.438
590,71.606
591,34.8258
592,57.0333
593,40.0732
594,54.9754
595,45.7327
596,35.6731
597,50.6636
598,81.4463
599,47.5047
600,79.9539
601,51.3575
602,59.2809
603,50.281
604,50.517
605,13.9126
606,70.2693
607,39.831
608,24.0506
609,41.9576
610,56.9763
611,50.4069
612,71.1356
613,13.2835
614,58.6741
615,30.6958
616,16.9425
617,46.6433
618,52.0247
619,16.6013
620,49.8481
621,48.5957
622,37.1728
623,58.8395
624,56.0758
625,44.181
626,37.5321
627,45.5291
628,43.503
629,31.9595
630,55.6976
631,69.3942
632,57.2402
633,56.7738
634,64.5159
635,68.947
636,53.028
637,42.4224
638,13.088
639,41.0163
640,20.3871
641,37.1662
642,31.1432
643,41.0285
644,54.0298
645,81.6539
646,32.9931
647,53.4605
648,45.1847
649,61.0788
650,37.1114
651,71.8058
652,54.7209
653,53.9848
654,45.1808
655,34.9738
656,77.0104
657,72.3969
658,42.2566
659,58.095
660,58.0215
661,39.7186
662,41.4008
663,82.4218
664,74.3536
665,82.4825
666,32.8374
667,10.6248
668,53.5087
669,35.3962
670,12.2024
671,77.8714
672,33.0651
673,34.0868
674,55.6199
675,71.1032
676,33.7657
677,82.3779
678,14.4238
679,19.0959
680,40.5474
681,73.5368
682,6.95454
683,6.86627
684,54.6891
685,53.8823
686,55.0142
687,50.4534
688,28.0459
689,62.5003
690,61.7793
691,11.8697
692,52.0009
693,4.56631
694,76.0032
695,57.1782
696,13.2234
697,48.9
698,22
699,78.8888
700,34.5517
701,30.5199
702,22.9746
703,75.2808
704,56.4227
705,55.7763
706,19.0719
707,68.6433
708,44.411
709,43.2149
710,50.1684
711,84.3369
712,24.213
713,20.0388
714,75.6606
715,16.9295
716,36.6843
717,7.42708
718,36.0043
719,87.6491
720,43.203
721,87.6248
722,58.153
723,77.797
724,42.5409
725,67.7898
726,13.719
727,58.2474
728,67.9967
729,37.8397
730,10.3432
731,13.8869
732,31.8167
733,62.5737
734,11.1479
735,34.4868
736,58.235
737,42.5901
738,42.7046
739,22.2525
740,33.5925
741,47.3105
742,42.6541
743,51.5197
744,85.0678
745,64.4472
746,74.1658
747,50.344
748,56.3756
749,93.7131
750,34.4722
751,45.9062
752,51.368
753,73.0836
754,19.8924
755,73.7387
756,19.8794
757,39.5258
758,50.546
759,33.0332
760,44.8819
761,59.6672
762,86.3942
763,26.8315
764,54.033
765,41.1516
766,84.9224
767,79.0072
768,88.3732
769,86.9273
770,39.1468
771,59.2649
772,71.021
773,48.6638
774,39.6266
775,42.2912
